,production_budget,worldwide_gross
1344,60000000,100230832
1345,52000000,47407635
1346,45000000,90523726
1347,40000000,128792135
1348,36000000,14378353
1349,25000000,13038660
1350,24000000,8427204
1351,27000,8231
1352,38000000,73956241
1353,80000000,60507228
1354,4000000,9821335
1355,15000000,12801190
1356,3000000,4142507
1357,1000000,1425707
1358,60000000,14816494
1359,25000,195043
1360,9000000,20035310
1361,7000000,411874
1362,36000000,2954405
1363,15000000,18260865
1364,4000000,185577
1365,33000000,173559438
1366,40000000,51867723
1367,24000000,85527867
1368,23000000,53182088
1369,9000000,28773637
1370,35000000,33422485
1371,36000000,23360779
1372,50000000,6291602
